Author;Regex;Quote
Epictetus;landscape;Men are disturbed not by things but by the principles and notions which they form concerning things. 
Epictetus;landscape;Where do I look for good and evil? Not to uncontrollable externals, but within myself to the choices that are my own. 
Epictetus;landscape;As time passes we forget what we learned and end up doing the opposite, and hold opinions the opposite of what we should 
Epictetus;landscape;Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for. 
Epictetus;landscape;Don’t seek for everything to happen as you wish it would, but rather wish that everything happens as it actually will–then your life will flow well. 
Zeno;landscape;Extravagance is its own destroyer. 
Zeno;landscape;All the good are friends of one another. 
Zeno;landscape;Man conquers the world by conquering himself. 
Zeno;landscape;Better to trip with the feet than with the tongue 
Zeno;landscape;Steel your sensibilities, so that life shall hurt you as little as possible. 
Zeno;landscape;A bad feeling is a commotion of the mind repugnant to reason, and against nature. 
Zeno;landscape;No loss should be more regrettable to us than losing our time, for it’s irretrievable. 
Musonius Rufus;landscape;Since every man dies, it is better to die with distinction than to live long. 
Musonius Rufus;landscape;Humanity must seek what is NOT simple and obvious using the simple and obvious. 
Musonius Rufus;landscape;Thus whoever destroys human marriage destroys the home, the city – the whole human race. 
Musonius Rufus;landscape;We begin to lose our hesitation to do immoral things when we lose our hesitation to speak of them. 
Musonius Rufus;landscape;Only by exhibiting actions in harmony with the sound words which he has received will anyone be helped by philosophy. 
Musonius Rufus;landscape;If you accomplish something good with hard work, the labor passes quickly, but the good endures, if you do something shameful in pursuit of pleasure, the pleasure passes quickly, but the shame endures 
Diogenes;landscape;Blushing is the color of virtue. 
Diogenes;landscape;The mob is the mother of tyrants. 
Diogenes;landscape;Poverty is a virtue which one can teach oneself. 
Diogenes;landscape;He with the most who is content with the least. 
Diogenes;landscape;The foundation of every state is the education of its youth. 
Diogenes;landscape;I am not an Athenian or a Greek, but a citizen of the world. 
Diogenes;landscape;Dogs and philosophers do the greatest good and get the fewest rewards. 
Cato;landscape;In doing nothing men learn to do evil. 
Cato;landscape;Don't promise twice what you can do at once. 
Cato;landscape;Old age isn't so bad when you consider the alternatives. 
Cato;landscape;Bitter are the roots of study, but how sweet their fruit. 
Cato;landscape;Consider it the greatest of all virtues to restrain the tongue. 
Cato;landscape;The best way to keep good acts in memory is to refresh them with new. 
Cato;landscape;I begin to speak only when I’m certain what I’ll say isn’t better left unsaid. 
Cicero;landscape;Let your desires be ruled by reason. 
Cicero;landscape;Not for ourselves alone are we born. 
Cicero;landscape;We must not say every mistake is a foolish one. 
Cicero;landscape;Gratitude is not only the greatest of virtues, but the parent of all others. 
Viktor Frankl;landscape;When we are no longer able to change a situation, we are challenged to change ourselves. 
Viktor Frankl;landscape;What man actually needs is not a tensionless state but rather the striving and struggling for some goal worthy of him. 
Heraclitus;landscape;You could not step twice into the same river. 
Cleanthes;landscape;Fate guides the willing, but drags the unwilling. 
Chrysippus;landscape;There could be no justice, unless there were also injustice, no courage, unless there were cowardice, no truth, unless there were falsehood. 
Iroh;iroh;Life happens wherever you are, whether you make it or not.
Iroh;iroh;Good times become good memories, but bad times become good lessons.
Iroh;iroh;Sometimes the best way to solve your own problems is to help someone else.
Iroh;iroh;Pride is not the opposite of shame, but it's source. True humility is the only antidote to shame.
Iroh;iroh;Failure is only the opportunity to begin again. Only this time, more wisely.
Iroh;iroh;You will find that if you look for the light, you can often find it, but if you look for the dark, that is all you will ever see.
Iroh;iroh;In the darkest times, hope is something you give yourself. That is the meaning of inner strength.
Iroh;iroh;Sometimes life is like this dark tunnel. You can't always see the light at the end of the tunnel, but if you just keep moving, you will come to a better place.

